"X","Y"
8.3443333,48.7876994
8.344321,48.78761
8.3442934,48.7875039
8.3442309,48.7873292
8.3441898,48.787232
8.3440418,48.7868817
8.3438102,48.7863892
8.3435362,48.7858337
8.3432743,48.7852181
8.3430936,48.7848088
8.3429758,48.7845585
8.3428142,48.7842151
8.3426694,48.7839287
8.3424507,48.7835351
8.3423421,48.7833768
8.3422248,48.7832422
8.3421956,48.7832136
8.3421183,48.7831442
8.3419851,48.7830344
8.3418955,48.7829671
8.3417647,48.7828761
8.3416289,48.7827883
8.3414769,48.7826973
8.3413217,48.7826121
8.3411287,48.7825162
8.340908,48.7824159
8.3407035,48.7823316
8.3404461,48.7822373
8.3402534,48.7821774
8.3395365,48.7819885
8.338967,48.7818462
8.3387971,48.7817973
8.3384598,48.781691
8.3381514,48.7815859
8.3379425,48.7815075
8.3376941,48.7814043
8.3374091,48.7812746
8.3372409,48.7811884
8.337083,48.781094
8.3369918,48.7810284
8.3368763,48.7809291
8.3367608,48.7808081
8.3366608,48.7806811
8.3365751,48.7805497
8.3365438,48.7804919
8.3364943,48.7804006
8.3364085,48.7801973
8.3363462,48.7799927
8.336321,48.7798373
8.336322,48.7796978
8.3363348,48.7795935
8.3363549,48.7794896
8.3363891,48.7793521
8.3364261,48.7792327
8.3364599,48.7791485
8.3365023,48.7790661
8.3365436,48.7790022
8.3366028,48.7789249
8.3367125,48.7788069
8.3368542,48.7786833
8.3369765,48.778595
8.3371091,48.7785133
8.3372609,48.7784124
8.3374446,48.7783062
8.339126,48.7773971
8.339245,48.7773253
8.3393579,48.7772493
8.3395508,48.7771016
8.339726,48.7769446
8.339882,48.776779
8.3400162,48.7766059
8.3401297,48.7764297
8.3401944,48.7762971
8.3402427,48.7761441
8.3402642,48.7760234
8.3402669,48.7758846
8.3402513,48.7757786
8.3402285,48.7756906
8.3401417,48.7754669
8.3400234,48.7752342
8.3399643,48.7751366
8.3398936,48.7750419
8.3398118,48.7749512
8.3392411,48.7743544
8.3389101,48.7740158
8.3387573,48.7738516
8.3385856,48.7736547
8.3384461,48.773486
8.3383137,48.7733156
8.338184,48.7731328
8.3381067,48.7730427
8.3380053,48.7729436
8.338003,48.7729413
8.3377506,48.7727167
8.3375855,48.7725573
8.3370714,48.7720442
8.3366759,48.771663
8.3365318,48.771513
8.3364227,48.7713905
8.3362673,48.7712037
8.3361081,48.7709981
8.3359677,48.7708061
8.3355784,48.7702395
8.3354221,48.7699929
8.3351101,48.769481
8.3348994,48.7691354
8.3346743,48.7688119
8.3345788,48.7686647
8.3344834,48.7684998
8.3343251,48.7681977
8.3340938,48.7677114
8.3340088,48.7675055
8.3339459,48.7672971
8.3339036,48.7670701
8.3338927,48.7669648
8.3338865,48.7668241
8.3338984,48.7665974
8.3339217,48.7664237
8.3339495,48.7662669
8.3339818,48.7661282
8.3340173,48.766007
8.3340585,48.7658862
8.3341074,48.7657668
8.3341566,48.7656662
8.3342119,48.765568
8.3343616,48.7653423
8.3344339,48.7652475
8.3345267,48.7651399
8.3346474,48.7650225
8.3347713,48.7649276
8.3349519,48.7648121
8.3352194,48.7646411
8.3357808,48.7642582
8.3359948,48.7640987
8.336111,48.7640008
8.3362901,48.7638217
8.3363777,48.7637244
8.3364925,48.763597
8.3367412,48.7633077
8.3369632,48.7630425
8.3371748,48.7628128
8.3372134,48.7627736
8.3373968,48.7625873
8.337855,48.7621428
8.3379401,48.7620583
8.3382311,48.761769
8.3383454,48.7616553
8.3388305,48.7611729
8.3389742,48.7609809
8.3391371,48.760794
8.3391453,48.7607845
8.3392947,48.7606409
8.3393609,48.7605866
8.33945,48.7605224
8.339528,48.760479
8.3395908,48.7604441
8.3397127,48.760378
8.339786,48.7603277
8.3398662,48.7602564
8.3399346,48.76018
8.3400167,48.760068
8.3401671,48.7598399
8.3404468,48.7594587
8.3405509,48.7592962
8.3406044,48.7591965
8.3406421,48.7591118
8.3406962,48.7589421
8.340707,48.7588563
8.3407095,48.7586822
8.3407318,48.7584147
8.3407328,48.7583076
8.3407069,48.7579361
8.3406861,48.7574225
8.3407027,48.7570408
8.3407163,48.7568224
8.3407147,48.7566105
8.3406866,48.756397
8.3405794,48.7559541
8.3405488,48.7557759
8.3405183,48.7553868
8.3405172,48.7552275
8.3405494,48.7549276
8.3405889,48.7547704
8.3406476,48.7545978
8.3407273,48.7544104
8.3407763,48.7543093
8.340837,48.7541923
8.3408736,48.7541259
8.3409587,48.7539833
8.3409592,48.7539834
8.3410614,48.7538332
8.3413339,48.7535301
8.3416606,48.7532759
8.3419403,48.7530866
8.3424224,48.7528025
8.3430028,48.7525119
8.3433897,48.7523456
8.34378,48.7521841
8.344533,48.75192
8.3454723,48.7515899
8.3457968,48.7514704
8.3464123,48.7512342
8.3468927,48.7511038
8.3471899,48.7510011
8.347623,48.7507909
8.3478222,48.7506735
8.3479184,48.7506126
8.3480509,48.7505179
8.3481588,48.7504248
8.3482605,48.7503018
8.3483334,48.7501706
8.3483924,48.7500002
8.3484226,48.7497915
8.3484108,48.7496321
8.3483593,48.7494576
8.3482818,48.7492873
8.3481511,48.7490537
8.348067,48.7489222
8.3479713,48.7487942
8.3475089,48.7482496
8.3472087,48.7479116
8.3470115,48.7476814
8.3466869,48.7473196
8.3464397,48.747068
8.346348,48.7469605
8.3462869,48.7468627
8.3462456,48.7467608
8.3462171,48.746657
8.3462023,48.746552
8.3462055,48.746429
8.3462151,48.7463779
8.346236,48.7463106
8.3462709,48.7462278
8.3463607,48.7460475
8.3464268,48.7459328
8.3468055,48.7453452
8.3470276,48.7450374
8.3470764,48.7449783
8.3473343,48.7447172
8.3475877,48.74449
8.3479308,48.7442015
8.3481002,48.7440428
8.3485577,48.7435599
8.3486507,48.743451
8.3487227,48.743355
8.3488055,48.7432253
8.3488789,48.743094
8.3489258,48.7429936
8.3489685,48.7428743
8.3489961,48.7427525
8.349007,48.7426501
8.3490045,48.7425142
8.3489895,48.7423946
8.3489715,48.7423271
8.3489531,48.7422862
8.3489333,48.7422421
8.3488729,48.7421435
8.3488018,48.742049
8.3487339,48.7419733
8.3486415,48.7418857
8.3485204,48.7417898
8.3484066,48.7417133
8.3482432,48.7416191
8.348025,48.7415128
8.3477972,48.7414157
8.3476209,48.7413464
8.347489,48.7412978
8.3472659,48.7412241
8.3469628,48.7410824
8.3466053,48.7408999
8.3463053,48.740754
8.3461212,48.740651
8.3453564,48.7402396
8.345161,48.7401227
8.3450666,48.7400617
8.3449272,48.7399568
8.344823,48.7398564
8.3447579,48.739781
8.3447021,48.7397025
8.3445932,48.7395249
8.3445149,48.7393759
