"ID","X","Y"
"3458/5425",8.42532225019735,48.9699091020985
"3458/5425",8.43897981336057,48.9699762553179
"3458/5425",8.4390805610751,48.960984625762
"3458/5426",8.43897981336057,48.9699762553179
"3458/5426",8.42532225019735,48.9699091020985
"3458/5426",8.42521899620259,48.9789006962941
"3458/5426",8.43887901564376,48.9789678706573
"3458/5426",8.43897981336057,48.9699762553179
"3458/5427",8.43887901564376,48.9789678706573
"3458/5427",8.42521899620259,48.9789006962941
"3458/5427",8.42511569095449,48.9878922762662
"3458/5427",8.43877816789275,48.9879594717809
"3458/5427",8.43887901564376,48.9789678706573
"3458/5428",8.43877816789275,48.9879594717809
"3458/5428",8.42511569095449,48.9878922762662
"3458/5428",8.42501233442033,48.9968838420155
"3458/5428",8.43867727007561,48.9969510586891
"3458/5428",8.43877816789275,48.9879594717809
"3458/5429",8.43867727007561,48.9969510586891
"3458/5429",8.42501233442033,48.9968838420155
"3458/5429",8.42490892656738,49.0058753935424
"3458/5429",8.43857632216038,49.0059426313827
"3458/5429",8.43867727007561,48.9969510586891
"3458/5430",8.43857632216038,49.0059426313827
"3458/5430",8.42490892656738,49.0058753935424
"3458/5430",8.42480546736286,49.0148669308476
"3458/5430",8.43847532411505,49.014934189862
"3458/5430",8.43857632216038,49.0059426313827
"3458/5431",8.43847532411505,49.014934189862
"3458/5431",8.42480546736286,49.0148669308476
"3458/5431",8.42470195677396,49.0238584539316
"3458/5431",8.43837427590762,49.0239257341278
"3458/5431",8.43847532411505,49.014934189862
"3458/5432",8.43837427590762,49.0239257341278
"3458/5432",8.42470195677396,49.0238584539316
"3458/5432",8.42459839476786,49.0328499627949
"3458/5432",8.43827317750603,49.0329172641804
"3458/5432",8.43837427590762,49.0239257341278
"3458/5433",8.43827317750603,49.0329172641804
"3458/5433",8.42459839476786,49.0328499627949
"3458/5433",8.4244947813117,49.0418414574382
"3458/5433",8.4381720288782,49.0419087800207
"3458/5433",8.43827317750603,49.0329172641804
"3458/5434",8.4381720288782,49.0419087800207
"3458/5434",8.4244947813117,49.0418414574382
"3458/5434",8.42439111637258,49.0508329378621
"3458/5434",8.43807082999203,49.0509002816491
"3458/5434",8.4381720288782,49.0419087800207
"3458/5435",8.43807082999203,49.0509002816491
"3458/5435",8.42439111637258,49.0508329378621
"3458/5435",8.4242873999176,49.059824404067
"3458/5435",8.43796958081538,49.0598917690662
"3458/5435",8.43807082999203,49.0509002816491
"3458/5436",8.43796958081538,49.0598917690662
"3458/5436",8.4242873999176,49.059824404067
"3458/5436",8.4241836319138,49.0688158560536
"3458/5436",8.43786828131608,49.0688832422725
"3458/5436",8.43796958081538,49.0598917690662
"3458/5437",8.43786828131608,49.0688832422725
"3458/5437",8.4241836319138,49.0688158560536
"3458/5437",8.42407981232821,49.0778072938225
"3458/5437",8.43776693146195,49.0778747012688
"3458/5437",8.43786828131608,49.0688832422725
"3458/5438",8.43776693146195,49.0778747012688
"3458/5438",8.42407981232821,49.0778072938225
"3458/5438",8.42397594112782,49.0867987173742
"3458/5438",8.43766553122077,49.0868661460554
"3458/5438",8.43776693146195,49.0778747012688
"3458/5439",8.43766553122077,49.0868661460554
"3458/5439",8.42397594112782,49.0867987173742
"3458/5439",8.4238720182796,49.0957901267093
"3458/5439",8.43756408056028,49.0958575766332
"3458/5439",8.43766553122077,49.0868661460554
"3458/5440",8.43756408056028,49.0958575766332
"3458/5440",8.4238720182796,49.0957901267093
"3458/5440",8.42376804375049,49.1047815218283
"3458/5440",8.43746257944821,49.1048489930025
"3458/5440",8.43756408056028,49.0958575766332
"3464/5420",8.52144166061056,48.9163945342502
"3464/5420",8.50779852889474,48.916337190533
"3464/5420",8.50771027607145,48.9253289890529
"3464/5420",8.52135585694549,48.9253863508207
"3464/5420",8.52144166061056,48.9163945342502
"3464/5421",8.52135585694549,48.9253863508207
"3464/5421",8.50771027607145,48.9253289890529
"3464/5421",8.50762197947787,48.9343207733885
